기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
명문제약,17180,A+,0.788119618,D,D,D,C,1
명신산업,9900,AA,0.115203294,C,C,C,C,1
모나리자,12690,BBB+,0.770677145,A,A,A+,A,3
모나미,5360,AA-,0.654583789,D,D,C,D,1
모나용평,70960,BB,0.873047692,D,C,D,D,1
모델솔루션,417970,A+,0.606704055,C,D,D,B,1
모두투어,80160,A,0.182058682,C,D,D,B+,1
모토닉,9680,BBB-,0.569065278,C,C,C,B,1
모트렉스,118990,BB-,0.462057554,D,C,D,D,1
무림P&P,9580,AA,0.74151902,A,A,A,B+,3
무림페이퍼,9200,A,0.121299155,B+,A,B+,B+,2
무학,33920,BB+,0.898049017,D,C,D,D,1
문배철강,8420,BBB,0.883914583,D,D,C,C,1
미래나노텍,95500,A-,0.999549742,C,C,B,D,1
미래산업,25560,BBB+,0.054,D,D,D,D,1
미래아이앤지,7120,A,0.624668033,D,D,D,D,1
미래에셋벤처투자,100790,BBB,0.903231261,C,D,D,B,1
미래에셋생명,85620,AA,0.716573236,B+,B+,A,B+,2
미래에셋증권,6800,A-,0.891006686,A,A+,A,B+,3
미스토홀딩스,81660,A-,0.727113972,B+,B+,A,B,2
미원상사,2840,AA-,0.00285512,C,C,D,C,1
미원에스씨,268280,BBB,0.43110421,B,C,B,B+,2
미원홀딩스,107590,AA,0.999741767,C,C,B,C,1
미원화학,134380,BBB,0.930645493,C,C,C,B,1
미창석유공업,3650,BB,0.97327901,D,C,D,D,1
바이오노트,377740,AA,0.924781289,D,D,D,C,1
바이오니아,64550,A,0.208501243,D,D,D,C,1
바텍,43150,AA-,0.605470432,D,D,D,D,1
박셀바이오,323990,AA-,0.705492312,C,D,D,B,1
방림,3610,AA,0.826497593,C,C,D,C,1
백산,35150,A-,0.835591097,C,C,C,C,1
범양건영,2410,A+,-0.355400607,D,D,C,D,0
벽산,7210,BB,0.907960776,B+,B+,B+,B,2
보락,2760,BB-,0.785781436,D,D,D,C,1
보령,3850,A+,0.760122453,A,A,A+,B+,3
보로노이,310210,AA,0.768105505,D,D,D,C,1
보해양조,890,B+,0.284865004,D,D,D,C,1
부광약품,3000,A+,0.927733132,B+,B,A+,B+,2
부국증권,1270,BBB+,0.633281118,C,D,B,C,1
부국철강,26940,A+,0.641326344,D,D,D,D,1
부산산업,11390,A,0.934312611,D,C,D,D,1
부산주공,5030,A-,0.417850756,C,C,C,C,1
비비안,2070,A-,0.917342105,D,D,D,D,1
비상교육,100220,AA-,0.855706232,B,D,B,B,2
비에이치,90460,A,0.120405919,C,B,B+,C,1
빙그레,5180,BBB,0.598910396,A,A,A+,A,3
사람인,143240,BBB,0.456607251,C,D,C,C,1
사조대림,3960,AA-,0.948679635,A,A,A,B+,3
사조동아원,8040,A+,0.627783689,B,B+,A,C,2
사조산업,7160,A+,0.866412894,B+,B+,B+,B+,2
사조씨푸드,14710,BB-,0.789209435,B,C,B+,B,2
사조오양,6090,BBB+,0.898569092,B,B+,A,C,2
삼부토건,1470,AA-,0.823638277,D,C,C,D,1
삼성E&A,28050,A+,0.327232794,A,A,A,A,3
삼성SDI,6400,AA,0.998660931,A+,A+,A+,A,4
삼성공조,6660,BBB-,0.984536639,D,D,C,C,1
삼성물산,28260,A+,0.94566266,A,A,A+,A,3
삼성바이오로직스,207940,AA-,0.138562461,A,A,A+,A,3
삼성생명,32830,AA,0.490290607,A,A,A+,B+,3
삼성에스디에스,18260,AA,0.42281192,A,B+,A+,A,3
삼성전기,9150,AA,0.625289798,A,A,A+,A,3
삼성전자,5930,AA,0.210880758,B+,B+,A,B,2
삼성제약,1360,AA-,0.840322152,D,D,D,D,1
삼성중공업,10140,AA,0.982298803,A,A,A,B+,3
삼성증권,16360,BBB,0.436976326,A,A+,A,B+,3
삼성출판사,68290,BBB-,0.481705152,C,D,D,B+,1
삼성카드,29780,AA,0.389749971,A,A+,A+,A,3
삼성화재해상보험,810,BBB,0.928997012,B+,A,A,B+,2
삼아알미늄,6110,BBB-,0.957607618,C,C,D,C,1
삼양사,145990,BBB-,0.961757394,A,A+,A+,B+,3
삼양식품,3230,A-,0.904718741,A,A,A+,A,3
삼양통상,2170,A,0.960566641,C,C,D,B,1
삼양패키징,272550,BB,0.953668682,B,A,A,C,2
삼양홀딩스,70,BBB+,0.629670522,A,A,A+,B+,3
삼영,3720,BBB+,-0.200719082,D,C,D,D,1
삼영무역,2810,BBB,0.501954641,C,D,D,B+,1
삼영전자공업,5680,A-,0.967369215,C,C,D,C,1
삼원강재,23000,A,0.769860207,B+,B+,B+,A,2
삼익THK,4380,AA-,0.891225308,C,C,C,B,1
삼익악기,2450,BBB+,0.791067547,D,D,D,D,1
삼일씨엔에스,4440,A,0.89286349,C,C,D,C,1
삼일제약,520,BB-,0.038980492,C,D,C,B,1
삼정펄프,9770,AA-,0.946803238,D,C,D,D,1
삼진제약,5500,AA,0.874274698,B,C,B,B+,2
삼천당제약,250,A,0.836099091,D,C,D,D,1
삼천리,4690,A+,0.798212521,C,B,B+,C,1
삼표시멘트,38500,BBB-,0.646680672,A,A,A+,A,3
삼호개발,10960,AA-,0.99986133,B+,B+,A,B+,2
삼화왕관,4450,BB-,0.862867761,C,C,D,C,1
삼화전기,9470,A+,0.314376788,D,C,C,D,1
삼화전자공업,11230,AA-,-0.193140928,D,D,D,D,1
삼화콘덴서공업,1820,A+,0.98814247,C,C,C,C,1
삼화페인트공업,390,AA,0.832747292,B+,B+,B+,B+,2
